data_id,AdaBoostClassifier(DecisionTreeClassifier),BernoulliNB,DecisionTreeClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,MLPClassifier,RandomForestClassifier,SGDClassifier,SVC,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
4538,0.521016914818191,0.4584219588777474,0.5142307302744861,0.6241264053479185,0.5880684695634559,0.59293021371417,0.5686214929605996,0.6085283095310442,0.4450521624632837,0.5392484553833687,2950,5,998,5,33,9873,0,0,32,1
6332,0.7722222222222223,0.7185185185185184,0.7518518518518519,0.7907407407407407,0.8185185185185184,0.7814814814814816,0.8074074074074075,0.7888888888888889,0.7277777777777777,0.7611111111111112,312,71,228,2,40,540,263,999,18,22
23381,0.5660000000000001,0.622,0.5379999999999999,0.5660000000000001,0.612,0.5479999999999999,0.564,0.5820000000000001,0.528,0.5920000000000001,290,24,210,2,13,500,401,835,1,12
23517,0.5021698504983388,0.5159053156146179,0.5008513289036545,0.5047134551495016,0.5203384551495016,0.5065926079734219,0.5131436877076412,0.5033741694352161,0.5158637873754153,0.5212313122923589,48658,2,47662,2,22,96320,0,0,21,1
40499,0.9265454545454546,0.5634545454545454,0.9285454545454546,0.9725454545454544,0.9810909090909092,0.9845454545454544,0.9976363636363637,0.968,0.9854545454545456,0.992,500,11,500,11,41,5500,0,0,40,1
40668,0.7710377903104046,0.6786861465133147,0.7690098731441597,0.8126322956910461,0.7661234217031544,0.7475761209053096,0.8486611306008259,0.8072294506860872,0.7564723122696391,0.7763370191097887,44473,3,6449,3,43,67557,0,0,0,43
40966,0.8592592592592593,0.6787037037037037,0.8574074074074075,0.9833333333333332,0.9824074074074076,0.9833333333333332,0.9962962962962963,0.9583333333333331,0.975925925925926,0.9962962962962963,150,8,105,8,82,1080,528,1396,77,5
40975,0.9756944444444444,0.8709490740740741,0.9791666666666669,0.9600694444444444,0.984375,0.8576388888888888,0.9901620370370372,0.9583333333333331,0.890625,0.9207175925925926,1210,4,65,4,7,1728,0,0,0,7
40979,0.868,0.926,0.8725,0.9655,0.9705,0.976,0.973,0.9545,0.961,0.981,200,10,200,10,241,2000,0,0,240,1
40982,0.7233384853168471,0.6002060793405462,0.7187017001545596,0.7594023699124164,0.7959814528593508,0.7439464193714581,0.7640391550747038,0.7454920144255539,0.6651210716125707,0.7552807831014942,673,7,55,7,28,1941,0,0,27,1
40983,0.9793345732589378,0.9460632362058276,0.9787146104567059,0.9805744988634016,0.9838809671419716,0.9698284769580492,0.9892539780946475,0.9803678445959908,0.9543294069022524,0.9803678445959908,4578,2,261,2,6,4839,0,0,5,1
40984,0.938961038961039,0.6108225108225108,0.9203463203463204,0.9467532467532468,0.9350649350649352,0.8917748917748918,0.9212121212121211,0.9316017316017317,0.8437229437229438,0.8852813852813852,330,7,330,7,20,2310,0,0,19,1
40994,0.8944444444444444,0.924074074074074,0.8944444444444444,0.924074074074074,0.9370370370370372,0.925925925925926,0.9518518518518521,0.9203703703703704,0.948148148148148,0.924074074074074,494,2,46,2,21,540,0,0,20,1
41027,0.7895312255962872,0.6594747763225418,0.7895535375621947,0.7652334947232201,0.836520225797095,0.7579821058033422,0.8598585421361475,0.7826145161650193,0.6803587764117897,0.8275508155023539,23062,3,4335,3,7,44819,0,0,6,1
